SectionNodeId,SectionNodeName,EasyVisaId,QuestVersion,Name,DisplayText,RuleClassName,RuleParam,DisplayOrderChildren,WrapperName,StyleClassName
Sec_legalStatusInUS,Legal Status in U.S.,SubSec_legalStatusInUSndGovtIDNos,quest_version_test,legalStatusInUSndGovtIDNos,Legal Status in U.S. and Government ID Numbers,,,,,
Sec_legalStatusInUS,Legal Status in U.S.,SubSec_usCitizens,quest_version_test,usCitizens,U.S. Citizens,LegalStatusApplicableRule,united_states_citizen,,,
Sec_legalStatusInUS,Legal Status in U.S.,SubSec_lawfulPermanentResident,quest_version_test,lawfulPermanentResident,"LPR (Lawful Permanent Resident), also commonly referred to as a Green Card holder",LegalStatusApplicableRule,lawful_permanent_resident,,,
,,,,,,,,,,
Sec_incomeHistory,Income History,SubSec_incomeHistory,quest_version_test,incomeHistory,Income History,,,,,
,,,,,,,,,,
Sec_assets,Assets,SubSec_bankDeposits,quest_version_test,bankDeposits,Bank Deposits,,,,,
Sec_assets,Assets,SubSec_personalProperty,quest_version_test,personalProperty,Personal Property,,,,,
Sec_assets,Assets,SubSec_realEstate,quest_version_test,realEstate,Real Estate,,,,,
Sec_assets,Assets,SubSec_lifeInsurance,quest_version_test,lifeInsurance,Life Insurance,,,,,
Sec_assets,Assets,SubSec_financialInstruments,quest_version_test,financialInstruments,Financial Instruments,,,,,
,,,,,,,,,,
Sec_employmentHistory,Employment History,SubSec_employmentStatus,quest_version_test,employmentStatus,Employment Status,,,"SubSec_employmentStatus,Q_1001,RQG_employmentStatus",,
,,,,,,,,,,
Sec_criminalAndCivilHistory,Criminal/Civil History,SubSec_currentMilitaryService,quest_version_test,currentMilitaryService,Current Military Service,,,,,
Sec_criminalAndCivilHistory,Criminal/Civil History,SubSec_criminalCivilConvictions,quest_version_test,criminalCivilConvictions,Criminal/Civil Convictions or Military Courts Martial,,,"SubSec_criminalCivilConvictions,Q_6005,Q_1115,RQG_6,Q_1119,Q_1120,RQG_7,Q_1124,Q_1125,Q_1126,Q_1127,Q_1128,Q_1129,Q_1130,RQG_8,Q_1134,Q_1135,Q_1136,Q_1137,Q_1138,Q_1139,RQG_9,Q_1143,Q_1144,Q_1145,Q_1146,Q_1147,Q_1148,Q_1149,Q_1150,Q_1151,Q_1152",,
,,,,,,,,,,
Sec_familyInformation,Family Information,SubSec_maritalStatus,quest_version_test,maritalStatus,Marital Status,,,,,
Sec_familyInformation,Family Information,SubSec_currentSpouse,quest_version_test,currentSpouse,Current Spouse,CurrentSpouseApplicableRule,Sec_familyInformation/SubSec_maritalStatus/Q_1204,,,
Sec_familyInformation,Family Information,SubSec_priorSpouses,quest_version_test,priorSpouses,Prior Spouses,PriorSpousesApplicableRule,"Sec_familyInformation/SubSec_maritalStatus/Q_1204,Sec_familyInformation/SubSec_currentSpouse/Q_1220",,,
Sec_familyInformation,Family Information,SubSec_parent1,quest_version_test,parent1,Parent 1,,,,,
Sec_familyInformation,Family Information,SubSec_parent2,quest_version_test,parent2,Parent 2,,,,,
Sec_familyInformation,Family Information,SubSec_childrenInformation,quest_version_test,childrenInformation,Children Information,,,,,
Sec_familyInformation,Family Information,SubSec_dependentsChildren,quest_version_test,dependentsChildren,Dependents (Children),,,,,
Sec_familyInformation,Family Information,SubSec_dependentsNonChildren,quest_version_test,dependentsNonChildren,Dependents (Non-Children),,,,,
Sec_familyInformation,Family Information,SubSec_householdSizeDependents,quest_version_test,householdSizeDependents,Household Size/Dependents,,,,,
Sec_familyInformation,Family Information,SubSec_householdIncome,quest_version_test,householdIncome,Household Income,HouseholdIncomeApplicableRule,,,,
,,,,,,,,,,
Sec_relationshipToPetitioner,Relationship to Petitioner,SubSec_fianceQuestions,quest_version_test,fianceQuestions,Fianc$e$(e) Questions,,,"SubSec_fianceQuestions,Q_1351,Q_1352,Q_1353,Q_1354,Q_1355,Q_1356,Q_1357,Q_1358,Q_1359,Q_1360,Q_1361,Q_1362,Q_1363,Q_1364,Q_1365,Q_1366,Q_1367,Q_1368,Q_1369,Q_1370,Q_1371",,
,,,,,,,,,,
Sec_supportAndContributions,Support & Contributions,SubSec_supportAndContributions,quest_version_test,supportAndContributions,Support & Contributions,,,,,
Sec_supportAndContributions,Support & Contributions,SubSec_natureOfContributions,quest_version_test,natureOfContributions,Nature of Contributions,NatureOfContributionsApplicableRule,,,,
,,,,,,,,,,
Sec_jointSponsor1IncomeAndAssets,Joint Sponsor 1 Income & Assets,SubSec_JointSponsor1Income,quest_version_test,JointSponsor1Income,Joint Sponsor 1 Income,,,,,
,,,,,,,,,,
Sec_introQuestionsForBeneficiary,Intro Questions For Beneficiary (The person who is immigrating to the United States),SubSec_introQuestionsForBeneficiary,quest_version_test,introQuestionsForBeneficiary,Intro Questions For Beneficiary (The person who is immigrating to the United States),,,,,
,,,,,,,,,,
Sec_basisPetitionToRemoveConditionsOnResidence,Basis for Petition to Remove Conditions on Residence,SubSec_basisPetitionToRemoveConditionsOnResidence,quest_version_test,basisPetitionToRemoveConditionsOnResidence,Basis for Petition to Remove Conditions on Residence,,,,,
,,,,,,,,,,
Sec_uscisLocationInformation,USCIS Location Information,SubSec_selectVisaInterViewLocation,quest_version_test,selectVisaInterViewLocation,Select Visa Interview Location,,,,,
Sec_uscisLocationInformation,USCIS Location Information,SubSec_selectAdjustmentOfStatusLocation,quest_version_test,selectAdjustmentOfStatusLocation,Select Adjustment of Status Location,,,,,
,,,,,,,,,,
Sec_nameForBeneficiary,Name,SubSec_currentLegalNameForBeneficiary,quest_version_test,currentLegalName,Current Legal Name,,,,,
Sec_nameForBeneficiary,Name,SubSec_otherNamesUsedForBeneficiary,quest_version_test,otherNamesUsed,Other Names Used,,,,,
,,,,,,,,,,
Sec_addressHistoryForBeneficiary,Address History,SubSec_currentPhysicalAddressForBeneficiary,quest_version_test,currentPhysicalAddress,Current Physical Address,,,,,
Sec_addressHistoryForBeneficiary,Address History,SubSec_previousPhysicalAddressForBeneficiary,quest_version_test,previousPhysicalAddress,Previous Physical Addresses,WithInNumberOfYears,"Sec_addressHistoryForBeneficiary/SubSec_currentPhysicalAddressForBeneficiary/Q_2012,5","SubSec_previousPhysicalAddressForBeneficiary,Q_2028,Q_2029,RQG_previousPhysicalAddressForBeneficiary",,
Sec_addressHistoryForBeneficiary,Address History,SubSec_currentMailingAddressForBeneficiary,quest_version_test,currentMailingAddress,Current Mailing Address,,,"SubSec_currentMailingAddressForBeneficiary,Q_2015,Q_2016,Q_2017,Q_2018,Q_2019,Q_2020,Q_2021,Q_2022,Q_2023,Q_2024,Q_2025,Q_2026",,
Sec_addressHistoryForBeneficiary,Address History,SubSec_lastAddressOutsideOfUSForBeneficiary,quest_version_test,lastAddressOutsideOfUS,Last Address Outside of the United States for more than 1 Year,,,,,
Sec_addressHistoryForBeneficiary,Address History,SubSec_addressWhereYouIntendToLiveInUSForBeneficiary,quest_version_test,addressWhereYouIntendToLiveInUS,Address Where You Intend to Live in U.S.,,,,,
Sec_addressHistoryForBeneficiary,Address History,SubSec_physicalAddressAbroadForBeneficiary,quest_version_test,physicalAddressAbroad,Physical Address Abroad,,,,,
Sec_addressHistoryForBeneficiary,Address History,SubSec_lastAddressWhichYouLivedTogetherWithSpouseForBeneficiary,quest_version_test,lastAddressWhichYouLivedTogetherWithSpouse,"If filing for your spouse, give last address at which you lived together",,,,,
Sec_addressHistoryForBeneficiary,Address History,SubSec_nameAndAddressInYourNativeAlphabetForBeneficiary,quest_version_test,nameAndAddressInYourNativeAlphabet,Name and Address in your Native Alphabet (non-Roman),,,,,
,,,,,,,,,,
Sec_contactInformationForBeneficiary,Contact Information,SubSec_mobilePhoneNumberForBeneficiary,quest_version_test,mobilePhoneNumber,Mobile Phone Number,,,,,invisible-subsection-title
Sec_contactInformationForBeneficiary,Contact Information,SubSec_intendedDaytimePhoneNumberInUSForBeneficiary,quest_version_test,intendedDaytimePhoneNumberInUS,Intended Daytime Phone Number in United States,,,,,invisible-subsection-title
Sec_contactInformationForBeneficiary,Contact Information,SubSec_homePhoneNumberForBeneficiary,quest_version_test,homePhoneNumber,Home Phone Number,,,,,invisible-subsection-title
Sec_contactInformationForBeneficiary,Contact Information,SubSec_officePhoneNumberForBeneficiary,quest_version_test,officePhoneNumber,Office Phone Number,,,,,invisible-subsection-title
Sec_contactInformationForBeneficiary,Contact Information,SubSec_emailForBeneficiary,quest_version_test,email,email,,,,,invisible-subsection-title
,,,,,,,,,,
Sec_birthInformationForBeneficiary,Birth Information,SubSec_birthInformationForBeneficiary,quest_version_test,birthInformation,Birth Information,,,,,
,,,,,,,,,,
Sec_biographicInformationForBeneficiary,Biographic Information,SubSec_ethnicityForBeneficiary,quest_version_test,ethnicity,Ethnicity (Select only one box),,,,,
Sec_biographicInformationForBeneficiary,Biographic Information,SubSec_raceForBeneficiary,quest_version_test,race,Race (Select all applicable boxes),,,,,
Sec_biographicInformationForBeneficiary,Biographic Information,SubSec_heightForBeneficiary,quest_version_test,height,Height,,,,,
Sec_biographicInformationForBeneficiary,Biographic Information,SubSec_weightForBeneficiary,quest_version_test,weight,Weight,,,,,
Sec_biographicInformationForBeneficiary,Biographic Information,SubSec_eyeColorForBeneficiary,quest_version_test,eyeColor,Eye Color,,,,,
Sec_biographicInformationForBeneficiary,Biographic Information,SubSec_hairColorForBeneficiary,quest_version_test,hairColor,Hair Color,,,,,
,,,,,,,,,,
Sec_personelInformationForBeneficiary,Personal Information,SubSec_personelInformationForBeneficiary,quest_version_test,personelInformation,Personal Information,,,"SubSec_personelInformationForBeneficiary,Q_2401,Q_2402,Q_2403,Q_2404,Q_2405,Q_2406,Q_2407,Q_2408,Q_2409,Q_2410,Q_2411,Q_2412,Q_2413,Q_2414,Q_2415,Q_2416",,
,,,,,,,,,,
Sec_incomeHistoryAndFeesPaid,Income History & Fees Paid,SubSec_incomeHistoryForBeneficiary,quest_version_test,incomeHistory,Income History,,,,,
Sec_incomeHistoryAndFeesPaid,Income History & Fees Paid,SubSec_feesPaidForBeneficiary,quest_version_test,feesPaid,Fees Paid,,,,,
,,,,,,,,,,
Sec_employmentHistory,Employment History,SubSec_employmentStatusForBeneficiary,quest_version_test,employmentStatusForBeneficiary,Employment Status,,,"SubSec_employmentStatusForBeneficiary,Q_2601,RQG_employmentStatusForBeneficiary",,
Sec_employmentHistoryForBeneficiary,Employment History,SubSec_lastOccupationOutsideUS,quest_version_test,lastOccupationOutsideUS,Last Occupation Outside the United States,,,,,
Sec_employmentHistoryForBeneficiary,Employment History,SubSec_sponsorsCurrentEmployment,quest_version_test,sponsorsCurrentEmployment,Sponsor's Current Employment,,,,,
Sec_employmentHistoryForBeneficiary,Employment History,SubSec_employmentAuthorization,quest_version_test,employmentAuthorization,Employment Authorization,,,,,
,,,,,,,,,,
Sec_familyInformationForBeneficiary,Family Information,SubSec_childrenInformationForBeneficiary,quest_version_test,childrenInformationForBeneficiary,Children Information,,,,,
Sec_familyInformationForBeneficiary,Family Information,SubSec_maritalStatusForBeneficiary,quest_version_test,maritalStatusForBeneficiary,Marital Status,,,,,
Sec_familyInformationForBeneficiary,Family Information,SubSec_currentSpouseForBeneficiary,quest_version_test,currentSpouseForBeneficiary,Current Spouse,CurrentSpouseApplicableRule,Sec_familyInformationForBeneficiary/SubSec_maritalStatusForBeneficiary/Q_2781,,,
Sec_familyInformationForBeneficiary,Family Information,SubSec_currentSpouseChildrenForBeneficiary,quest_version_test,currentSpouseChildrenForBeneficiary,Current Spouse's Children,CurrentSpouseApplicableRule,Sec_familyInformationForBeneficiary/SubSec_maritalStatusForBeneficiary/Q_2781,,,
Sec_familyInformationForBeneficiary,Family Information,SubSec_priorSpousesForBeneficiary,quest_version_test,priorSpousesForBeneficiary,Prior Spouses,PriorSpousesApplicableRule,"Sec_familyInformationForBeneficiary/SubSec_maritalStatusForBeneficiary/Q_2781,Sec_familyInformationForBeneficiary/SubSec_maritalStatusForBeneficiary/Q_2783",,,
Sec_familyInformationForBeneficiary,Family Information,SubSec_dependentsForBeneficiary,quest_version_test,dependentsForBeneficiary,Dependents,,,,,
Sec_familyInformationForBeneficiary,Family Information,SubSec_parent1ForBeneficiary,quest_version_test,parent1ForBeneficiary,Parent 1,,,,,
Sec_familyInformationForBeneficiary,Family Information,SubSec_parent2ForBeneficiary,quest_version_test,parent2ForBeneficiary,Parent 2,,,,,
,,,,,,,,,,
Sec_travelToTheUnitedStates,Travel to the United States,SubSec_currentStatusInTheUnitedStates,quest_version_test,currentStatusInTheUnitedStates,Current status in the United States,,,,,
Sec_travelToTheUnitedStates,Travel to the United States,SubSec_lastEntryIntoTheUnitedStates,quest_version_test,lastEntryIntoTheUnitedStates,Last Entry into the United States,,,,,
Sec_travelToTheUnitedStates,Travel to the United States,SubSec_previousVisitsToTheUnitedStates,quest_version_test,previousVisitsToTheUnitedStates,Prior Visits to the United States,,,"SubSec_previousVisitsToTheUnitedStates,Q_2993,Q_2995,RQG_previousVisitsToTheUnitedStates",,
,,,,,,,,,,
Sec_inadmissibilityAndOtherLegalIssues,Inadmissibility and Other Legal  Issues,SubSec_inadmissibilityAndOtherLegalIssues,quest_version_test,inadmissibilityAndOtherLegalIssues,Inadmissibility and Other Legal  Issues,,,,,
Sec_inadmissibilityAndOtherLegalIssues,Inadmissibility and Other Legal  Issues,SubSec_immigrationHistoryGeneral,quest_version_test,immigrationHistoryGeneral,Immigration History General,,,,,
Sec_inadmissibilityAndOtherLegalIssues,Inadmissibility and Other Legal  Issues,SubSec_priorImmigrationProceedings,quest_version_test,priorImmigrationProceedings,Prior Immigration Proceedings,,,,,
Sec_inadmissibilityAndOtherLegalIssues,Inadmissibility and Other Legal  Issues,SubSec_criminalHistory,quest_version_test,criminalHistory,Criminal History,,,,,
Sec_inadmissibilityAndOtherLegalIssues,Inadmissibility and Other Legal  Issues,SubSec_securityMilitaryParamilitaryPolitical,quest_version_test,securityMilitaryParamilitaryPolitical,Security/Military/Paramilitary/Political,,,,,
Sec_inadmissibilityAndOtherLegalIssues,Inadmissibility and Other Legal  Issues,SubSec_health,quest_version_test,health,Health,,,,,
Sec_inadmissibilityAndOtherLegalIssues,Inadmissibility and Other Legal  Issues,SubSec_otherInadmissibilityGrounds,quest_version_test,otherInadmissibilityGrounds,Other Inadmissibility Grounds,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sec_publicAssistance,Public Assistance ,SubSec_publicAssistance,quest_version_test,publicAssistance,Public Assistance ,,,,,
,,,,,,,,,,
Sec_extremeHardshipForRelatives,Relatives Who Will Experience Extreme Hardship if You Are Inadmissible to the United States,SubSec_extremeHardshipForRelatives,quest_version_test,relativesWhoWillExperienceExtremeHardshipIfYouAreInadmissibleToTheUnitedStates,Extreme Hardship for Relatives,,,,,
,,,,,,,,,,
Sec_otherPeopleWithTiesToUS,"Other U.S. citizen(s), LPR(s) (Lawful Permanent Resident), or any other family members with ties to the United States that you would like the USCIS to consider in deciding whether you should be lawfully admitted to the United States",SubSec_otherPeopleWithTiesToUS,quest_version_test,otherPeopleWithTiesToUS,Other People With Ties to U.S.,,,,,
,,,,,,,,,,
Sec_statementFromApplicant,Statement from Applicant,SubSec_extremeHardshipStatement,quest_version_test,extremeHardshipStatement,Extreme Hardship Statement,ExtremeHardshipStatementApplicableRule,,,,
Sec_statementFromApplicant,Statement from Applicant,SubSec_discretionaryApprovalStatement,quest_version_test,discretionaryApprovalStatement,Discretionary Approval Statement,,,,,
,,,,,,,,,,
Sec_admin,Admin,SubSec_attorneyProfile,quest_version_test,attorneyProfile,Attorney Profile,,,,,
